                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.98584,                0.71363,                0.87595,                0.71904,                0.64816,                0.71064,                0.47891,                 1.1279,                0.74229,                0.91096,              2.674e-05,              2.674e-05,              2.674e-05
                     77,                0.99133,                0.70584,                0.88017,                0.64423,                0.71203,                0.70719,                0.47648,                 1.1333,                  0.746,                0.91122,              2.575e-05,              2.575e-05,              2.575e-05
                     78,                0.97307,                0.69898,                0.87914,                0.72877,                0.65157,                0.71191,                0.47775,                 1.1254,                0.74289,                0.90985,              2.476e-05,              2.476e-05,              2.476e-05
                     79,                0.99508,                0.71493,                0.87591,                0.68737,                0.69054,                0.70854,                0.47572,                 1.1242,                0.74457,                0.90836,              2.377e-05,              2.377e-05,              2.377e-05
                     80,                0.96768,                0.69502,                  0.878,                0.75118,                0.65303,                0.71754,                0.48246,                 1.1304,                0.74667,                0.91152,              2.278e-05,              2.278e-05,              2.278e-05
                     81,                0.97349,                0.68617,                0.87775,                0.68371,                0.69592,                0.71376,                0.47942,                 1.1294,                0.74903,                0.91033,              2.179e-05,              2.179e-05,              2.179e-05
                     82,                0.98025,                0.68803,                0.87562,                0.68949,                0.67516,                0.71076,                0.47876,                 1.1293,                0.74855,                0.91155,               2.08e-05,               2.08e-05,               2.08e-05
                     83,                0.97821,                0.69872,                0.87682,                 0.7005,                0.65884,                 0.7048,                0.47338,                 1.1284,                0.75556,                0.91075,              1.981e-05,              1.981e-05,              1.981e-05
                     84,                0.97635,                0.69445,                0.87949,                0.70723,                0.64344,                0.70508,                0.47685,                 1.1285,                0.74891,                0.91122,              1.882e-05,              1.882e-05,              1.882e-05
                     85,                0.97093,                0.68679,                0.87501,                0.69107,                0.66516,                0.70632,                0.47615,                 1.1268,                0.74806,                0.91211,              1.783e-05,              1.783e-05,              1.783e-05
